tray,pos,hpi,genotype,cluster,size
1,C_12,72,cyp,Healthy,0.14256756756756755
1,C_12,96,cyp,Healthy,0.0669409124906507
1,A_01,0,Col-0,Chlorotic,0
1,A_01,24,Col-0,Chlorotic,0
1,A_01,48,Col-0,Chlorotic,0
1,A_01,72,Col-0,Chlorotic,0.19158713326263696
1,A_01,96,Col-0,Chlorotic,0.43329532497149376
1,A_02,0,Col-0,Chlorotic,0
1,A_02,24,Col-0,Chlorotic,0
1,A_02,48,Col-0,Chlorotic,0.011889862327909888
1,A_02,72,Col-0,Chlorotic,0.26358525921299186
1,A_02,96,Col-0,Chlorotic,0.3101000322684737
1,A_03,0,Col-0,Chlorotic,0
1,A_03,24,Col-0,Chlorotic,0
1,A_03,48,Col-0,Chlorotic,0
1,A_03,72,Col-0,Chlorotic,0.19399624765478424
1,A_03,96,Col-0,Chlorotic,0.2514050206069689
1,A_04,0,Col-0,Chlorotic,0
1,A_04,24,Col-0,Chlorotic,0
1,A_04,48,Col-0,Chlorotic,0.054036458333333336
1,A_04,72,Col-0,Chlorotic,0.31290956749672344
1,A_04,96,Col-0,Chlorotic,0.3687895965321774
1,A_05,0,Col-0,Chlorotic,0
1,A_05,24,Col-0,Chlorotic,0
1,A_05,48,Col-0,Chlorotic,0
1,A_05,72,Col-0,Chlorotic,0.5085201793721973
1,A_05,96,Col-0,Chlorotic,0.6242171189979123
1,A_06,0,Col-0,Chlorotic,0
1,A_06,24,Col-0,Chlorotic,0
1,A_06,48,Col-0,Chlorotic,0.0373806275579809
1,A_06,72,Col-0,Chlorotic,0.38111019055509526
1,A_06,96,Col-0,Chlorotic,0.43444006752954417
1,A_07,0,Col-0,Chlorotic,0
1,A_07,24,Col-0,Chlorotic,0
1,A_07,48,Col-0,Chlorotic,0.020423319717786857
1,A_07,72,Col-0,Chlorotic,0.6485386607473178
1,A_07,96,Col-0,Chlorotic,0.7089185393258427
1,A_08,0,Col-0,Chlorotic,0
1,A_08,24,Col-0,Chlorotic,0
1,A_08,48,Col-0,Chlorotic,0.09805194805194806
1,A_08,72,Col-0,Chlorotic,0.29549140447615957
1,A_08,96,Col-0,Chlorotic,0.3161668839634941
1,A_09,0,Col-0,Chlorotic,0
1,A_09,24,Col-0,Chlorotic,0
1,A_09,48,Col-0,Chlorotic,0.16601409553641347
1,A_09,72,Col-0,Chlorotic,0.7622072250893211
1,A_09,96,Col-0,Chlorotic,0.7508293402137854
1,A_10,0,Col-0,Chlorotic,0
1,A_10,24,Col-0,Chlorotic,0
1,A_10,48,Col-0,Chlorotic,0.038950715421303655
1,A_10,72,Col-0,Chlorotic,0.3116204262163249
1,A_10,96,Col-0,Chlorotic,0.35022114997989545
1,A_11,0,Col-0,Chlorotic,0
1,A_11,24,Col-0,Chlorotic,7.217610970768675e-4
1,A_11,48,Col-0,Chlorotic,0.06040268456375839
1,A_11,72,Col-0,Chlorotic,0.4149348362099331
1,A_11,96,Col-0,Chlorotic,0.41150922909880566
1,A_12,0,Col-0,Chlorotic,0
1,A_12,24,Col-0,Chlorotic,0
1,A_12,48,Col-0,Chlorotic,0
1,A_12,72,Col-0,Chlorotic,0.36381909547738694
1,A_12,96,Col-0,Chlorotic,0.46272493573264784
1,B_01,0,lacs,Chlorotic,0
1,B_01,24,lacs,Chlorotic,0
1,B_01,48,lacs,Chlorotic,0.0016281341582546401
1,B_01,72,lacs,Chlorotic,0.26013513513513514
1,B_01,96,lacs,Chlorotic,0.3445165945165945
1,B_02,0,lacs,Chlorotic,0
1,B_02,24,lacs,Chlorotic,0
1,B_02,48,lacs,Chlorotic,0
1,B_02,72,lacs,Chlorotic,0.18996415770609318
1,B_02,96,lacs,Chlorotic,0.2895140664961637
1,B_03,0,lacs,Chlorotic,0
1,B_03,24,lacs,Chlorotic,0
1,B_03,48,lacs,Chlorotic,0
1,B_03,72,lacs,Chlorotic,0
1,B_03,96,lacs,Chlorotic,0
1,B_04,0,lacs,Chlorotic,0
1,B_04,24,lacs,Chlorotic,0
1,B_04,48,lacs,Chlorotic,0
1,B_04,72,lacs,Chlorotic,0
1,B_04,96,lacs,Chlorotic,0
1,B_05,0,lacs,Chlorotic,0
1,B_05,24,lacs,Chlorotic,0
1,B_05,48,lacs,Chlorotic,0
1,B_05,72,lacs,Chlorotic,0
1,B_05,96,lacs,Chlorotic,0
1,B_06,0,lacs,Chlorotic,0
1,B_06,24,lacs,Chlorotic,0
1,B_06,48,lacs,Chlorotic,0.1109857035364936
1,B_06,72,lacs,Chlorotic,0.3611006407840181
1,B_06,96,lacs,Chlorotic,0.4405997693194925
1,B_07,0,lacs,Chlorotic,0
1,B_07,24,lacs,Chlorotic,0
1,B_07,48,lacs,Chlorotic,0.03800340328984685
1,B_07,72,lacs,Chlorotic,0.37433155080213903
1,B_07,96,lacs,Chlorotic,0.5343705799151344
1,B_08,0,lacs,Chlorotic,0
1,B_08,24,lacs,Chlorotic,0
1,B_08,48,lacs,Chlorotic,0
1,B_08,72,lacs,Chlorotic,0
1,B_08,96,lacs,Chlorotic,0
1,B_09,0,lacs,Chlorotic,0
1,B_09,24,lacs,Chlorotic,0
1,B_09,48,lacs,Chlorotic,0
1,B_09,72,lacs,Chlorotic,0.24121621621621622
1,B_09,96,lacs,Chlorotic,0.29826989619377164
1,B_10,0,lacs,Chlorotic,0
